date_str;artist;single;record_label;weeks
January 19, 1980;Michael Jackson;"""Rock with You""";Epic;4
February 16, 1980;Captain & Tennille;"""Do That to Me One More Time""";Casablanca;1
February 23, 1980;Queen;"""Crazy Little Thing Called Love""";Elektra;4
March 22, 1980;Pink Floyd;"""Another Brick in the Wall (Part 2)""";Columbia;4
April 19, 1980;Blondie;"""Call Me""♪ (1980)";Chrysalis;6
May 31, 1980;Lipps, Inc.;"""Funkytown""";Casablanca;4
June 28, 1980;Paul McCartney;"""Coming Up (Live at Glasgow)""";Columbia;3
July 19, 1980;Billy Joel;"""It's Still Rock and Roll to Me""";Columbia;2
August 2, 1980;Olivia Newton-John;"""Magic""";MCA;4
August 30, 1980;Christopher Cross;"""Sailing""";Warner Bros.;1
September 6, 1980;Diana Ross;"""Upside Down""";Motown;4
October 4, 1980;Queen;"""Another One Bites the Dust""";Elektra;3
October 25, 1980;Barbra Streisand;"""Woman in Love""";Columbia;3
November 15, 1980;Kenny Rogers;"""Lady""";Liberty;6
December 27, 1980;John Lennon;"""(Just Like) Starting Over""";Geffen;5
1981;1981;1981;1981;1981
January 31, 1981;Blondie;"""The Tide Is High""";Chrysalis;1
February 7, 1981;Kool & the Gang;"""Celebration""";De-Lite;2
February 21, 1981;Dolly Parton;"""9 to 5""";RCA;2
February 28, 1981;Eddie Rabbitt;"""I Love a Rainy Night""";Elektra;2
March 21, 1981;REO Speedwagon;"""Keep On Loving You""";Epic;1
March 28, 1981;Blondie;"""Rapture""";Chrysalis;2
April 11, 1981;Daryl Hall and John Oates;"""Kiss on My List""";RCA;3
May 2, 1981;Sheena Easton;"""Morning Train (Nine to Five)""";EMI America;2
May 16, 1981;Kim Carnes;"""Bette Davis Eyes""♪ (1981)";Capitol;9
June 20, 1981;Stars on 45;"""Stars on 45""";Radio Records;1
July 25, 1981;Air Supply;"""The One That You Love""";Arista;1
August 1, 1981;Rick Springfield;"""Jessie's Girl""";RCA;2
August 15, 1981;Diana Ross and Lionel Richie;"""Endless Love""";Motown;9
October 17, 1981;Christopher Cross;"""Arthur's Theme (Best That You Can Do)""";Warner Bros.;3
November 7, 1981;Daryl Hall and John Oates;"""Private Eyes""";RCA;2
November 21, 1981;Olivia Newton-John;"""Physical""♪ (1982)";MCA;10
1982;1982;1982;1982;1982
January 30, 1982;Daryl Hall and John Oates;"""I Can't Go for That (No Can Do)""";RCA;1
February 6, 1982;The J. Geils Band;"""Centerfold""";EMI America;6
March 20, 1982;Joan Jett and the Blackhearts;"""I Love Rock 'n' Roll""";Boardwalk;7
May 8, 1982;Vangelis;"""Chariots of Fire""";Polydor;1
May 15, 1982;Paul McCartney with Stevie Wonder;"""Ebony and Ivory""";Columbia;7
July 3, 1982;The Human League;"""Don't You Want Me""";Virgin;3
July 24, 1982;Survivor;"""Eye of the Tiger""";Scotti Bros.;6
September 4, 1982;Steve Miller Band;"""Abracadabra""";Capitol;2
September 11, 1982;Chicago;"""Hard to Say I'm Sorry""";Full Moon/Warner Bros.;2
October 2, 1982;John Mellencamp;"""Jack and Diane""";Riva;4
October 30, 1982;Men at Work;"""Who Can It Be Now""";Columbia;1
November 6, 1982;Joe Cocker and Jennifer Warnes;"""Up Where We Belong""";Island;3
November 27, 1982;Lionel Richie;"""Truly""";Motown;2
December 11, 1982;Toni Basil;"""Mickey""";Chrysalis;1
December 18, 1982;Daryl Hall and John Oates;"""Maneater""";RCA;4
1983;1983;1983;1983;1983
January 15, 1983;Men at Work;"""Down Under""";Columbia;4
February 5, 1983;Toto;"""Africa""";Columbia;1
February 19, 1983;Patti Austin and James Ingram;"""Baby, Come to Me""";Qwest;2
March 5, 1983;Michael Jackson;"""Billie Jean""";Epic;7
April 23, 1983;Dexys Midnight Runners;"""Come On Eileen""";Mercury;1
April 30, 1983;Michael Jackson;"""Beat It""";Epic;3
May 21, 1983;David Bowie;"""Let's Dance""";EMI America;1
May 28, 1983;Irene Cara;"""Flashdance... What a Feeling""";Casablanca;6
July 9, 1983;The Police;"""Every Breath You Take""♪ (1983)";A&M;8
September 3, 1983;Eurythmics;"""Sweet Dreams (Are Made of This)""";RCA;1
September 10, 1983;Michael Sembello;"""Maniac""";Casablanca;2
September 24, 1983;Billy Joel;"""Tell Her About It""";Columbia;1
October 1, 1983;Bonnie Tyler;"""Total Eclipse of the Heart""";Columbia;4
October 29, 1983;Kenny Rogers with Dolly Parton;"""Islands in the Stream""";RCA;2
November 12, 1983;Lionel Richie;"""All Night Long (All Night)""";Motown;4
December 10, 1983;Paul McCartney and Michael Jackson;"""Say, Say, Say""";Columbia;6
1984;1984;1984;1984;1984
January 21, 1984;Yes;"""Owner of a Lonely Heart""";Atco;2
February 4, 1984;Culture Club;"""Karma Chameleon""";Virgin/Epic;3
February 25, 1984;Van Halen;"""Jump""";Warner Bros.;5
March 31, 1984;Kenny Loggins;"""Footloose""";Columbia;3
April 21, 1984;Phil Collins;"""Against All Odds (Take a Look at Me Now)""";Atlantic;3
May 12, 1984;Lionel Richie;"""Hello""";Motown;2
May 26, 1984;Deniece Williams;"""Let's Hear It for the Boy""";Columbia;2
June 9, 1984;Cyndi Lauper;"""Time After Time""";Portrait;2
June 23, 1984;Duran Duran;"""The Reflex""";Capitol;2
July 7, 1984;Prince;"""When Doves Cry""♪ (1984)";Warner Bros.;5
August 11, 1984;Ray Parker, Jr.;"""Ghostbusters""";Arista;3
September 1, 1984;Tina Turner;"""What's Love Got to Do with It""";Capitol;3
September 22, 1984;John Waite;"""Missing You""";EMI America;1
September 29, 1984;Prince and The Revolution;"""Let's Go Crazy""";Warner Bros.;2
October 13, 1984;Stevie Wonder;"""I Just Called to Say I Love You""";Motown;3
November 3, 1984;Billy Ocean;"""Caribbean Queen (No More Love on the Run)""";Arista;2
November 17, 1984;Wham!;"""Wake Me Up Before You Go-Go""";Columbia;3
December 8, 1984;Daryl Hall and John Oates;"""Out of Touch""";RCA;2
December 22, 1984;Madonna;"""Like a Virgin""";Warner Bros.;6
1985;1985;1985;1985;1985
February 2, 1985;Foreigner;"""I Want to Know What Love Is""";Atlantic;2
February 16, 1985;Wham! featuring George Michael;"""Careless Whisper""♪ (1985)";Columbia;3
March 9, 1985;REO Speedwagon;"""Can't Fight This Feeling""";Epic;3
March 30, 1985;Phil Collins;"""One More Night""";Atlantic;2
April 13, 1985;USA for Africa;"""We Are the World""";Columbia;4
May 11, 1985;Madonna;"""Crazy for You""";Warner Bros.;1
May 18, 1985;Simple Minds;"""Don't You (Forget About Me)""";A&M;1
May 25, 1985;Wham!;"""Everything She Wants""";Columbia;2
June 8, 1985;Tears for Fears;"""Everybody Wants to Rule the World""";PolyGram;2
June 22, 1985;Bryan Adams;"""Heaven""";A&M;2
July 6, 1985;Phil Collins;"""Sussudio""";Atlantic;1
July 13, 1985;Duran Duran;"""A View to a Kill""";Capitol;2
July 27, 1985;Paul Young;"""Everytime You Go Away""";Columbia;1
August 3, 1985;Tears for Fears;"""Shout""";PolyGram;3
August 24, 1985;Huey Lewis and the News;"""The Power of Love""";Chrysalis;2
